PLZ;Stadt;Stadtteil;Landkreis;Bundesland
63928;Walldürn;;Neckar-Odenwald-Kreis;Baden-Württemberg
74731;Walldürn;;Neckar-Odenwald-Kreis;Baden-Württemberg
64754;Eberbach;;Rhein-Neckar-Kreis;Baden-Württemberg
69412;Eberbach;;Rhein-Neckar-Kreis;Baden-Württemberg
69429;Eberbach;;Rhein-Neckar-Kreis;Baden-Württemberg
69434;Eberbach;;Rhein-Neckar-Kreis;Baden-Württemberg
68159;Mannheim;Mannheim-Mühlau;;Baden-Württemberg
68161;Mannheim;;;Baden-Württemberg
68163;Mannheim;Mannheim-Neuostheim;;Baden-Württemberg
68165;Mannheim;Mannheim-Schwetzingerstadt;;Baden-Württemberg
68167;Mannheim;Mannheim-Neckarstadt-Ost;;Baden-Württemberg
68169;Mannheim;Mannheim-Neckarstadt-West;;Baden-Württemberg
68199;Mannheim;Mannheim-Neckerau;;Baden-Württemberg
68219;Mannheim;Mannheim-Rheinau;;Baden-Württemberg
68229;Mannheim;Mannheim-Friedrichsfeld;;Baden-Württemberg
68239;Mannheim;Mannheim-Hochstätt;;Baden-Württemberg
68259;Mannheim;Mannheim-Feudenheim;;Baden-Württemberg
68305;Mannheim;Mannheim-Waldhof;;Baden-Württemberg
68307;Mannheim;Mannheim-Scharnhof;;Baden-Württemberg
68309;Mannheim;Mannheim-Käfertal;;Baden-Württemberg
68526;Ladenburg;;Rhein-Neckar-Kreis;Baden-Württemberg
68535;Edingen-Neckarhausen;;Rhein-Neckar-Kreis;Baden-Württemberg
68542;Heddesheim;;Rhein-Neckar-Kreis;Baden-Württemberg
68549;Ilvesheim;;Rhein-Neckar-Kreis;Baden-Württemberg
68723;Schwetzingen;;Rhein-Neckar-Kreis;Baden-Württemberg
68753;Waghäusel;;Kreis Karlsruhe;Baden-Württemberg
68766;Hockenheim;;Rhein-Neckar-Kreis;Baden-Württemberg
68775;Ketsch;;Rhein-Neckar-Kreis;Baden-Württemberg
68782;Brühl/Baden;;Rhein-Neckar-Kreis;Baden-Württemberg
68789;Sankt Leon-Rot;;Rhein-Neckar-Kreis;Baden-Württemberg
68794;Oberhausen-Rheinhausen;;Kreis Karlsruhe;Baden-Württemberg
68799;Reilingen;;Rhein-Neckar-Kreis;Baden-Württemberg
68804;Altlußheim;;Rhein-Neckar-Kreis;Baden-Württemberg
68809;Neulußheim;;Rhein-Neckar-Kreis;Baden-Württemberg
69115;Heidelberg;;;Baden-Württemberg
69117;Heidelberg;;;Baden-Württemberg
69118;Heidelberg;;;Baden-Württemberg
69120;Heidelberg;;;Baden-Württemberg
69121;Heidelberg;;;Baden-Württemberg
